Inbound delivery created this many days after shipment,PO issued on date,Delivery entered by supplier on,PO-line-Conf type,PO-line-Conf type,Vendor,vendor name,Plant,PO Document Date,PO Document,PO Item,Confirmation Number,Confirmation Category,Created by,Purchasing Group,Responsible buyer,Delivery Created by,Created on,Lead Time Code,Confirmed Delivery Date
PO conf,3/8/2020,PO conf,45101834397ABLR9,45101834397AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,7,3,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/18/2020,F2807,06/08/2020
3,3/8/2020,05/07/2020,45101834398LALR9,45101834398LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,8,1,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,05/07/2020,F2807,06/01/2020
PO conf,3/8/2020,PO conf,45101834398ABLR9,45101834398AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,8,2,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/18/2020,F2807,06/01/2020
3,3/8/2020,05/07/2020,45101834399LALR9,45101834399LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,9,1,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,05/07/2020,F2807,06/01/2020
PO conf,3/8/2020,PO conf,45101834399ABLR9,45101834399AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,9,2,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/18/2020,F2807,06/01/2020
2,3/8/2020,04/22/2020,451018343910LALR9,451018343910LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,10,1,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,04/22/2020,F2807,05/18/2020
PO conf,3/8/2020,PO conf,451018343910ABLR9,451018343910AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,10,2,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/18/2020,F2807,05/18/2020
1,3/8/2020,05/15/2020,451018343911LALR9,451018343911LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,11,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,05/15/2020,F2807,06/11/2020
PO conf,3/8/2020,PO conf,451018343911ABLR9,451018343911AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,11,3,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/18/2020,F2807,06/10/2020
3,3/8/2020,05/07/2020,451018343912LALR9,451018343912LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,12,1,LA,GELECCLCL_BI,531,Zhiqiang Zhou,FDT503015350,05/07/2020,F2807,06/01/2020
PO conf,3/8/2020,PO conf,451018343912ABLR9,451018343912AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,12,2,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/18/2020,F2807,06/01/2020
3,3/8/2020,05/07/2020,451018343913LALR9,451018343913LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,13,1,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,05/07/2020,F2807,06/01/2020
PO conf,3/8/2020,PO conf,451018343913ABLR9,451018343913AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,13,2,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/18/2020,F2807,06/01/2020
3,3/8/2020,05/07/2020,451018343913LALR9,451018343913LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,13,3,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,05/07/2020,F2807,06/01/2020
1,3/8/2020,05/12/2020,451018343914LALR9,451018343914LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,14,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,05/12/2020,F2807,06/08/2020
PO conf,3/8/2020,PO conf,451018343914ABLR9,451018343914AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,14,3,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/18/2020,F2807,06/08/2020
3,3/8/2020,05/07/2020,451018343915LALR9,451018343915LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,15,1,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,05/07/2020,F2807,06/01/2020
PO conf,3/8/2020,PO conf,451018343915ABLR9,451018343915AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,15,2,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/18/2020,F2807,06/01/2020
3,3/8/2020,05/07/2020,451018343916LALR9,451018343916LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,16,1,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,05/07/2020,F2807,06/01/2020
PO conf,3/8/2020,PO conf,451018343916ABLR9,451018343916AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,16,2,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/18/2020,F2807,06/01/2020
3,3/8/2020,05/07/2020,451018343917LALR9,451018343917LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,17,1,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,05/07/2020,F2807,06/01/2020
PO conf,3/8/2020,PO conf,451018343917ABLR9,451018343917AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,17,2,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/18/2020,F2807,06/01/2020
1,3/8/2020,05/12/2020,451018343918LALR9,451018343918LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,18,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,05/12/2020,F2807,06/08/2020
PO conf,3/8/2020,PO conf,451018343918ABLR9,451018343918AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,18,3,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/18/2020,F2807,06/08/2020
3,3/8/2020,05/07/2020,451018343919LALR9,451018343919LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,19,1,LA,GELECCLCL_BI,531,Zhiqiang Zhou,FDT503015350,05/07/2020,F2807,06/01/2020
PO conf,3/8/2020,PO conf,451018343919ABLR9,451018343919AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,19,2,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/18/2020,F2807,06/01/2020
1,3/8/2020,05/15/2020,451018343920LALR9,451018343920LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,20,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,05/15/2020,F2807,06/11/2020
PO conf,3/8/2020,PO conf,451018343920ABLR9,451018343920AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,20,3,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/18/2020,F2807,06/10/2020
1,3/8/2020,05/12/2020,451018343921LALR9,451018343921LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,21,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,05/12/2020,F2807,06/08/2020
PO conf,3/8/2020,PO conf,451018343921ABLR9,451018343921AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,21,3,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/18/2020,F2807,06/08/2020
1,3/8/2020,05/15/2020,451018343922LALR9,451018343922LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,22,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,05/15/2020,F2807,06/11/2020
PO conf,3/8/2020,PO conf,451018343922ABLR9,451018343922AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,22,3,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/18/2020,F2807,06/10/2020
1,3/8/2020,05/12/2020,451018343923LALR9,451018343923LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,23,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,05/12/2020,F2807,06/08/2020
PO conf,3/8/2020,PO conf,451018343923ABLR9,451018343923AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,23,3,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/18/2020,F2807,06/08/2020
3,3/8/2020,05/07/2020,451018343924LALR9,451018343924LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,24,1,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,05/07/2020,F2807,06/01/2020
PO conf,3/8/2020,PO conf,451018343924ABLR9,451018343924AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,24,2,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/18/2020,F2807,06/01/2020
1,3/8/2020,05/12/2020,451018343925LALR9,451018343925LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,25,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,05/12/2020,F2807,06/08/2020
PO conf,3/8/2020,PO conf,451018343925ABLR9,451018343925AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,25,3,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/18/2020,F2807,06/08/2020
-3,3/8/2020,05/15/2020,451018343926LALR9,451018343926LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,26,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,05/15/2020,F2807,06/15/2020
PO conf,3/8/2020,PO conf,451018343926ABLR9,451018343926AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,26,3,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/18/2020,F2807,06/12/2020
3,3/8/2020,05/07/2020,451018343927LALR9,451018343927LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,27,1,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,05/07/2020,F2807,06/01/2020
PO conf,3/8/2020,PO conf,451018343927ABLR9,451018343927AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183439,27,2,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/18/2020,F2807,06/01/2020
-3,3/8/2020,05/15/2020,45101834401LALR9,45101834401LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183440,1,1,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,05/15/2020,F2807,06/15/2020
PO conf,3/8/2020,PO conf,45101834401ABLR9,45101834401AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183440,1,2,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/14/2020,F2807,06/12/2020
3,3/8/2020,05/07/2020,45101834402LALR9,45101834402LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183440,2,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,05/07/2020,F2807,06/01/2020
PO conf,3/8/2020,PO conf,45101834402ABLR9,45101834402AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183440,2,3,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/14/2020,F2807,06/01/2020
3,3/8/2020,05/07/2020,45101834403LALR9,45101834403LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183440,3,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,05/07/2020,F2807,06/01/2020
PO conf,3/8/2020,PO conf,45101834403ABLR9,45101834403AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183440,3,3,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/14/2020,F2807,06/01/2020
3,3/8/2020,05/07/2020,45101834404LALR9,45101834404LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183440,4,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,05/07/2020,F2807,06/01/2020
PO conf,3/8/2020,PO conf,45101834404ABLR9,45101834404AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183440,4,3,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/14/2020,F2807,06/01/2020
3,3/8/2020,05/07/2020,45101834405LALR9,45101834405LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183440,5,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,05/07/2020,F2807,06/01/2020
PO conf,3/8/2020,PO conf,45101834405ABLR9,45101834405AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183440,5,3,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/14/2020,F2807,06/01/2020
3,3/8/2020,05/07/2020,45101834406LALR9,45101834406LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183440,6,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,05/07/2020,F2807,06/01/2020
PO conf,3/8/2020,PO conf,45101834406ABLR9,45101834406AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183440,6,3,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/14/2020,F2807,06/01/2020
3,3/8/2020,05/07/2020,45101834407LALR9,45101834407LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183440,7,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,05/07/2020,F2807,06/01/2020
PO conf,3/8/2020,PO conf,45101834407ABLR9,45101834407AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183440,7,3,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,05/14/2020,F2807,06/01/2020
PO conf,3/8/2020,PO conf,45101834411ABLR9,45101834411AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183441,1,1,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/26/2020,F2807,05/22/2020
-1,3/8/2020,04/27/2020,45101834411LALR9,45101834411LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183441,1,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,04/27/2020,F2807,05/26/2020
PO conf,3/8/2020,PO conf,45101834412ABLR9,45101834412AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183441,2,1,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/26/2020,F2807,05/22/2020
-1,3/8/2020,04/27/2020,45101834412LALR9,45101834412LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183441,2,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,04/27/2020,F2807,05/26/2020
1,3/8/2020,05/12/2020,45101834421LALRH,45101834421LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183442,1,2,LA,GELECCLCL_BI,518,Ying Xia,GELPI_PROXY,05/12/2020,F2807,06/08/2020
1,3/8/2020,05/12/2020,45101834421LALRH,45101834421LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183442,1,3,LA,GELECCLCL_BI,518,Ying Xia,GELPI_PROXY,05/12/2020,F2807,06/08/2020
PO conf,3/8/2020,PO conf,45101834421ABLRH,45101834421AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183442,1,4,AB,GELECCLCL_BI,518,Ying Xia,#,05/20/2020,F2807,06/08/2020
3,3/8/2020,05/07/2020,45101834422LALRH,45101834422LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183442,2,1,LA,GELECCLCL_BI,518,Ying Xia,FDT503015350,05/07/2020,F2807,06/01/2020
PO conf,3/8/2020,PO conf,45101834422ABLRH,45101834422AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183442,2,2,AB,GELECCLCL_BI,518,Ying Xia,#,05/20/2020,F2807,06/01/2020
3,3/8/2020,05/07/2020,45101834422LALRH,45101834422LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183442,2,3,LA,GELECCLCL_BI,518,Ying Xia,FDT503015350,05/07/2020,F2807,06/01/2020
3,3/8/2020,05/07/2020,45101834423LALRH,45101834423LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183442,3,1,LA,GELECCLCL_BI,518,Ying Xia,GELPI_PROXY,05/07/2020,F2807,06/01/2020
PO conf,3/8/2020,PO conf,45101834423ABLRH,45101834423AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183442,3,2,AB,GELECCLCL_BI,518,Ying Xia,#,05/20/2020,F2807,06/01/2020
3,3/8/2020,05/07/2020,45101834423LALRH,45101834423LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183442,3,3,LA,GELECCLCL_BI,518,Ying Xia,FDT503015350,05/07/2020,F2807,06/01/2020
0,3/8/2020,05/21/2020,45101834424LALRH,45101834424LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183442,4,1,LA,GELECCLCL_BI,518,Ying Xia,GELPI_PROXY,05/21/2020,F2807,06/18/2020
PO conf,3/8/2020,PO conf,45101834424ABLRH,45101834424AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183442,4,2,AB,GELECCLCL_BI,518,Ying Xia,#,05/20/2020,F2807,06/17/2020
3,3/8/2020,05/07/2020,45101834426LALRH,45101834426LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183442,6,1,LA,GELECCLCL_BI,518,Ying Xia,GELPI_PROXY,05/07/2020,F2807,06/01/2020
PO conf,3/8/2020,PO conf,45101834426ABLRH,45101834426AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183442,6,2,AB,GELECCLCL_BI,518,Ying Xia,#,05/20/2020,F2807,06/01/2020
-1,3/8/2020,05/20/2020,45101834431LALRH,45101834431LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183443,1,2,LA,GELECCLCL_BI,518,Ying Xia,GELPI_PROXY,05/20/2020,F2807,06/18/2020
PO conf,3/8/2020,PO conf,45101834431ABLRH,45101834431AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183443,1,3,AB,GELECCLCL_BI,518,Ying Xia,#,06/06/2020,F2807,06/17/2020
0,3/8/2020,05/21/2020,45101834432LALRH,45101834432LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183443,2,2,LA,GELECCLCL_BI,518,Ying Xia,GELPI_PROXY,05/21/2020,F2807,06/18/2020
PO conf,3/8/2020,PO conf,45101834432ABLRH,45101834432AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183443,2,3,AB,GELECCLCL_BI,518,Ying Xia,#,06/06/2020,F2807,06/17/2020
0,3/8/2020,06/08/2020,45101834434LALRH,45101834434LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183443,4,1,LA,GELECCLCL_BI,518,Ying Xia,GELPI_PROXY,06/08/2020,F2807,07/06/2020
PO conf,3/8/2020,PO conf,45101834434ABLRH,45101834434AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183443,4,2,AB,GELECCLCL_BI,518,Ying Xia,#,06/06/2020,F2807,07/06/2020
3,3/8/2020,05/07/2020,45101834441LALRH,45101834441LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183444,1,1,LA,GELECCLCL_BI,518,Ying Xia,FDT503015350,05/07/2020,F2807,06/01/2020
PO conf,3/8/2020,PO conf,45101834441ABLRH,45101834441AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183444,1,2,AB,GELECCLCL_BI,518,Ying Xia,#,05/19/2020,F2807,06/01/2020
-1,3/8/2020,05/20/2020,45101834442LALRH,45101834442LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183444,2,1,LA,GELECCLCL_BI,518,Ying Xia,GELPI_PROXY,05/20/2020,F2807,06/18/2020
PO conf,3/8/2020,PO conf,45101834442ABLRH,45101834442AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183444,2,2,AB,GELECCLCL_BI,518,Ying Xia,#,05/19/2020,F2807,06/17/2020
3,3/8/2020,05/07/2020,45101834443LAXXX,45101834443LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183444,3,1,LA,GELECCLCL_BI,518,Ying Xia,GELPI_PROXY,05/07/2020,F2807,06/01/2020
PO conf,3/8/2020,PO conf,45101834443ABXXX,45101834443AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183444,3,2,AB,GELECCLCL_BI,518,Ying Xia,#,05/19/2020,F2807,06/01/2020
-1,3/8/2020,05/20/2020,45101834444LALRH,45101834444LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183444,4,1,LA,GELECCLCL_BI,518,Ying Xia,GELPI_PROXY,05/20/2020,F2807,06/18/2020
PO conf,3/8/2020,PO conf,45101834444ABLRH,45101834444AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183444,4,2,AB,GELECCLCL_BI,518,Ying Xia,#,05/19/2020,F2807,06/17/2020
0,3/8/2020,05/19/2020,45101834445LALRH,45101834445LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183444,5,2,LA,GELECCLCL_BI,518,Ying Xia,GELPI_PROXY,05/19/2020,F2807,06/16/2020
PO conf,3/8/2020,PO conf,45101834445ABLRH,45101834445AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183444,5,3,AB,GELECCLCL_BI,518,Ying Xia,#,05/19/2020,F2807,06/15/2020
8,3/8/2020,05/27/2020,45101834451LALRH,45101834451LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183445,1,2,LA,GELECCLCL_BI,518,Ying Xia,GELPI_PROXY,05/27/2020,F2807,06/16/2020
PO conf,3/8/2020,PO conf,45101834451ABLRH,45101834451AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183445,1,3,AB,GELECCLCL_BI,518,Ying Xia,#,05/29/2020,F2807,06/15/2020
-3,3/8/2020,05/15/2020,45101834452LAXXX,45101834452LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183445,2,1,LA,GELECCLCL_BI,518,Ying Xia,GELPI_PROXY,05/15/2020,F2807,06/15/2020
PO conf,3/8/2020,PO conf,45101834452ABXXX,45101834452AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183445,2,2,AB,GELECCLCL_BI,518,Ying Xia,#,05/29/2020,F2807,06/12/2020
3,3/8/2020,05/07/2020,45101834453LAXXX,45101834453LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183445,3,2,LA,GELECCLCL_BI,518,Ying Xia,FDT503015350,05/07/2020,F2807,06/01/2020
PO conf,3/8/2020,PO conf,45101834453ABXXX,45101834453AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183445,3,3,AB,GELECCLCL_BI,518,Ying Xia,#,05/29/2020,F2807,06/01/2020
0,3/8/2020,05/21/2020,45101834454LALRH,45101834454LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183445,4,1,LA,GELECCLCL_BI,518,Ying Xia,GELPI_PROXY,05/21/2020,F2807,06/18/2020
PO conf,3/8/2020,PO conf,45101834454ABLRH,45101834454AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183445,4,2,AB,GELECCLCL_BI,518,Ying Xia,#,05/29/2020,F2807,06/17/2020
0,3/8/2020,05/29/2020,45101834455LALRH,45101834455LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183445,5,1,LA,GELECCLCL_BI,518,Ying Xia,GELPI_PROXY,05/29/2020,F2807,06/26/2020
1,3/8/2020,05/26/2020,45101834455LALRH,45101834455LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183445,5,2,LA,GELECCLCL_BI,518,Ying Xia,GELPI_PROXY,05/26/2020,F2807,06/22/2020
0,3/8/2020,05/29/2020,45101834455LALRH,45101834455LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183445,5,3,LA,GELECCLCL_BI,518,Ying Xia,GELPI_PROXY,05/29/2020,F2807,06/26/2020
PO conf,3/8/2020,PO conf,45101834455ABLRH,45101834455AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183445,5,4,AB,GELECCLCL_BI,518,Ying Xia,#,05/29/2020,F2807,06/22/2020
PO conf,3/8/2020,PO conf,45101834455ABLRH,45101834455AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,03/08/2020,4510183445,5,5,AB,GELECCLCL_BI,518,Ying Xia,#,05/29/2020,F2807,06/26/2020
