Inbound delivery created this many days after shipment,PO issued on date,Delivery entered by supplier on,PO-line-Conf type,PO-line-Conf type,Vendor,vendor name,Plant,PO Document Date,PO Document,PO Item,Confirmation Number,Confirmation Category,Created by,Purchasing Group,Responsible buyer,Delivery Created by,Created on,Lead Time Code,Confirmed Delivery Date
PO conf,1/2/2020,PO conf,45101804431ABLR9,45101804431AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/02/2020,4510180443,1,7,AB,212781000,531,Zhiqiang Zhou,#,03/11/2020,F2807,04/03/2020
PO conf,1/2/2020,PO conf,45101804431ABLR9,45101804431AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/02/2020,4510180443,1,8,AB,212781000,531,Zhiqiang Zhou,#,03/11/2020,F2807,04/06/2020
-1,1/3/2020,04/12/2020,45101804621LALR6,45101804621LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180462,1,1,LA,GELECCLCL_BI,510,Wenjin Xu,GELPI_PROXY,04/12/2020,F2807,05/11/2020
PO conf,1/3/2020,PO conf,45101804621ABLR6,45101804621AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180462,1,2,AB,GELECCLCL_BI,510,Wenjin Xu,#,04/01/2020,F2807,05/08/2020
0,1/3/2020,04/13/2020,45101804621LALR6,45101804621LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180462,1,3,LA,GELECCLCL_BI,510,Wenjin Xu,GELPI_PROXY,04/13/2020,F2807,05/11/2020
3,1/3/2020,03/09/2020,45101804631LAXXX,45101804631LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180463,1,2,LA,GELECCLCL_BI,510,Wenjin Xu,GELPI_PROXY,03/09/2020,F2807,04/03/2020
PO conf,1/3/2020,PO conf,45101804631ABXXX,45101804631AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180463,1,3,AB,GELECCLCL_BI,510,Wenjin Xu,#,03/29/2020,F2807,04/03/2020
0,1/3/2020,03/30/2020,45101804632LALR7,45101804632LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180463,2,1,LA,GELECCLCL_BI,510,Wenjin Xu,GELPI_PROXY,03/30/2020,F2807,04/27/2020
PO conf,1/3/2020,PO conf,45101804632ABLR7,45101804632AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180463,2,2,AB,GELECCLCL_BI,510,Wenjin Xu,#,03/29/2020,F2807,04/24/2020
0,1/3/2020,04/06/2020,45101804641LALR9,45101804641LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,1,1,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,04/06/2020,F2807,05/04/2020
